f_e,T_e
7.292455393053886e-06,2.999695596407574
3.4499420075905452e-06,8.658887596600405
9.579845108442287e-06,1.9999999920558653
9.716933410338634e-06,2.1699346730191476
7.679904241597073e-06,2.600000151633714
1.0323667216417056e-05,2.0999999925194817
1.0486576667257561e-05,1.8324126987302396
1.2783741531961671e-05,1.6478168081385498
1.2598508727307307e-05,1.499999933385449
9.791531515049909e-06,1.8221599349294604
8.785287961856152e-06,1.9276203600550676
1.1349874519070186e-05,2.1209467681841385
7.677008485360556e-06,2.101917754727459
1.7133977228282595e-05,1.300000024464775
8.86101999171454e-06,2.2411710430833565
9.470693076096674e-06,1.8572236231954855
8.872646556283163e-06,2.070496952456797
1.094128082390819e-05,2.099997118498185
9.45529143933666e-06,1.9999999575416185
1.0824740826372481e-05,1.9791947281262057
1.1729360315737788e-05,1.4291718383246337
1.1399111329795416e-05,1.4434049731202723
1.4143518214214724e-05,1.5000001882332432
8.350305694097107e-06,2.5456742742055356
5.9876831992712284e-06,2.230338271187188
9.364491369622227e-06,1.7127586242960968
8.06565597936574e-06,2.099999993360061
8.001984205856662e-06,2.6999999940386186
9.544576069494704e-06,2.158743426827552
9.206707336211877e-06,2.0403213168128493
1.3100708604338096e-05,1.899999992454457
1.0199142888910143e-05,1.8336327574261022
1.063318646783174e-05,1.925888348312772
9.626306157342822e-06,2.2000000283877696
1.344229907069133e-05,1.3000000000024228
1.3530833519089774e-05,1.2455323082538632
6.319233231806968e-06,3.9330005276389723
8.947935790926862e-06,2.0808829222028025
1.1457724704586513e-05,1.9999999922377214
1.2487722310291436e-05,1.4449528125223479
1.1820132519674547e-05,1.4058835105408132
1.0379212990312728e-05,1.8000000002417809
9.304182370636168e-06,1.941875826696415
1.714591145744664e-05,1.1999999598995055
1.1178569544111323e-05,1.7286164557245292
1.1238875933765855e-05,1.459098797702821
1.14919558275318e-05,1.853931573538767
1.0736656187206673e-05,1.8000099302455708
9.240977738434754e-06,2.005712071136151
1.2584841618174478e-05,1.4453332091390703
1.0652103305627474e-05,1.8409694792310412
1.3967144104510968e-05,1.4181836732380075
9.629181074709657e-06,2.137035710757117
7.115142297683305e-06,2.5191995600774435
8.858163047357719e-06,2.39999999191274
1.1788141420003652e-05,1.6999999906042187
1.3822202378236705e-05,1.344916218920495
1.1190891572941593e-05,1.9999999770820158
1.3431018198388897e-05,1.2029254947071815
1.1217734435443303e-05,1.6999999960904424
1.1143415738121415e-05,1.8587104534817835
1.0022309275387072e-05,2.130432930171947
9.623207344448523e-06,1.6558589786048934
9.825116304207962e-06,1.9501615712972236
9.45074113798001e-06,2.067933640399738
1.1844008710844587e-05,1.7999999904776813
1.2348359845809404e-05,1.399999993556376
9.436475235079634e-06,1.699999994198601
1.0400272428103453e-05,2.049103068132018
1.3380858048668354e-05,1.4999999958770727
8.624476572923774e-06,1.9348857759581557
1.0376145878837629e-05,2.0999999984326765
9.269757121266825e-06,1.6243633117084373
1.1400697656706132e-05,1.633721236690762
