f_es,T_es,chisquared_avg,chisquared_000,chisquared_001,chisquared_002,chisquared_003,chisquared_004
1.6768705735295977e-05,2.8847012942968444,2750.6649192879954,3428.117067648044,3789.4895503050666,1505.896621273199,1511.5786677805238,3518.2426894331443
1.689290457477135e-05,2.8847012942968444,2779.96429095123,3463.1271630485217,3827.00044554608,1526.8082395408526,1529.6086816832944,3553.276924937402
1.7017103414246726e-05,2.8847012942968444,2808.951823202541,3497.7682830310314,3863.939184330428,1547.345800051538,1547.6053769926689,3588.1004716070393
1.7141302253722102e-05,2.8847012942968444,2837.849471647623,3532.258770816201,3900.7713745496662,1567.9249577711291,1565.5654577814455,3622.7267973196736
1.7265501093197475e-05,2.8847012942968444,2866.6631300306894,3566.607862328618,3937.5024721366717,1588.543442360154,1583.4925818261424,3657.1692915018602
1.738969993267285e-05,2.8847012942968444,2895.398000577362,3600.823760512906,3974.1372941136588,1609.1991828569044,1601.3899572540033,3691.4398081493378
1.7513898772148228e-05,2.8847012942968444,2924.0586838999106,3634.9137695063364,4010.6801009381434,1629.890275389997,1619.2604014425633,3725.5488722225123
1.76380976116236e-05,2.8847012942968444,2952.373785431196,3668.6064666485377,4046.617234233481,1650.196211021292,1637.051073742909,3759.397941509762
1.7762296451098977e-05,2.8847012942968444,2980.587645999881,3702.1435478352414,4082.424717333425,1670.5123236937438,1654.79978947869,3793.0578516583046
1.7886495290574353e-05,2.8847012942968444,3008.718851854741,3735.546324190336,4118.133066312572,1690.8580874041986,1672.5122946297288,3826.5444867368687
5.590810182512223e-06,2.904188613585162,548.7651816705212,364.5037278509245,484.0152181085157,383.72283621921514,865.4868676384075,646.0972585355429
5.715009021987598e-06,2.904188613585162,541.620798897691,369.45229956989186,493.5465069958179,363.77942047174963,835.1391358330129,646.1866316179826
5.8392078614629725e-06,2.904188613585162,540.2230644932328,380.21546976994875,508.8843894096973,348.8577626940223,811.8227997336907,651.334900858805
5.963406700938348e-06,2.904188613585162,542.9371229617533,395.0469380107672,528.407464653613,337.5917696400663,793.3022396019572,660.3372029023627
6.087605540413723e-06,2.904188613585162,543.0398222381118,408.0049642633049,545.778557914051,323.80524844615877,769.829075868674,667.7812646983703
6.211804379889098e-06,2.904188613585162,538.3197424841568,417.3960382562791,558.7925406615066,305.4116939475527,738.1939066401093,671.8045329153366
6.336003219364473e-06,2.904188613585162,540.4254845789111,433.0553504974692,578.2795854067589,293.338697820212,715.6623050238946,681.7914841462208
6.460202058839848e-06,2.904188613585162,547.0903278204095,452.8529937220462,602.1300077187815,285.54336851370596,699.0272517232387,695.8980174242752
