f_es,T_es,chisquared
0.49770235643321137,0.16735432019177754,7715.7725049161745
0.6280291441834247,0.16735432019177754,7805.070698116391
0.7924828983539186,0.16735432019177754,7894.578000845699
1.0,0.16735432019177754,7983.788633308717
1e-10,0.17636705308557563,47915.49670230041
1.2618568830660183e-10,0.17636705308557563,47912.51068632838
1.592282793341094e-10,0.17636705308557563,47929.18983533644
2.0092330025650458e-10,0.17636705308557563,47953.82275640391
2.5353644939701164e-10,0.17636705308557563,47980.46740574117
3.1992671377973845e-10,0.17636705308557563,48006.01494324386
4.03701725859655e-10,0.17636705308557563,48028.8325228441
5.094138014816385e-10,0.17636705308557563,48048.05666917835
6.428073117284319e-10,0.17636705308557563,48063.27122136203
8.111308307896856e-10,0.17636705308557563,48074.28254806602
1.0235310218990269e-09,0.17636705308557563,48081.042092219686
1.2915496650148826e-09,0.17636705308557563,48083.56566694973
1.6297508346206469e-09,0.17636705308557563,29240.981750135838
2.0565123083486515e-09,0.17636705308557563,29181.616587207733
2.595024211399732e-09,0.17636705308557563,29409.935124094245
3.2745491628777316e-09,0.17636705308557563,29797.60071669012
4.132012400115335e-09,0.17636705308557563,30267.921293757212
5.214008287999674e-09,0.17636705308557563,30774.810288235276
6.579332246575682e-09,0.17636705308557563,31290.50486109688
8.302175681319736e-09,0.17636705308557563,31798.361781528638
1.0476157527896662e-08,0.17636705308557563,21646.575504195196
1.3219411484660288e-08,0.17636705308557563,21749.548437835834
1.6681005372000592e-08,0.17636705308557563,22082.34104460444
2.104904144512022e-08,0.17636705308557563,22551.430845142488
2.656087782946684e-08,0.17636705308557563,23095.507642160657
3.351602650938841e-08,0.17636705308557563,17653.857111905367
4.229242874389499e-08,0.17636705308557563,17618.975573901647
5.336699231206302e-08,0.17636705308557563,17805.987937673795
6.734150657750828e-08,0.17636705308557563,18119.327618888805
8.497534359086438e-08,0.17636705308557563,15715.593061225241
1.0722672220103232e-07,0.17636705308557563,15081.685004568379
1.3530477745798075e-07,0.17636705308557563,15100.847108571324
