obs_wl_vac(nm),ritz_wl_vac(nm),unc_ritz_wl,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"425.2382","425.2382","0.0010","1.11e+05",C+,"11.54835442","14.46399577","3s2.3p5.(2P*<3/2>).4s","2[3/2]*","2","3s2.3p5.(2P*<3/2>).5p","2[1/2]","1",5,3,,"T5223","L2634",
"426.0561","426.0561","0.0010","3.98e+06",B+,"11.82807116","14.73811536","3s2.3p5.(2P*<1/2>).4s","2[1/2]*","1","3s2.3p5.(2P*<1/2>).5p","2[1/2]","0",3,1,,"T5223","L2634",
"426.7487","426.7487","0.0010","3.1e+05",C+,"11.62359272","14.52891349","3s2.3p5.(2P*<3/2>).4s","2[3/2]*","1","3s2.3p5.(2P*<3/2>).5p","2[3/2]","2",3,5,,"T5223","L2634",
"427.3371","427.3371","0.0010","8.0e+05",B,"11.62359272","14.52491330","3s2.3p5.(2P*<3/2>).4s","2[3/2]*","1","3s2.3p5.(2P*<3/2>).5p","2[3/2]","1",3,3,,"T5223","L2634",
"430.1311","430.1311","0.0010","3.77e+05",B+,"11.62359272","14.50606764","3s2.3p5.(2P*<3/2>).4s","2[3/2]*","1","3s2.3p5.(2P*<3/2>).5p","2[5/2]","2",3,5,,"T5223","L2634",
"433.4779","433.4780","0.0010","5.7e+05",B+,"11.82807116","14.68829030","3s2.3p5.(2P*<1/2>).4s","2[1/2]*","1","3s2.3p5.(2P*<1/2>).5p","2[3/2]","2",3,5,,"T5223","L2634",
"433.6557","433.6557","0.0010","3.9e+05",C+,"11.82807116","14.68711824","3s2.3p5.(2P*<1/2>).4s","2[1/2]*","1","3s2.3p5.(2P*<1/2>).5p","2[1/2]","1",3,3,,"T5223","L2634",
"434.6390","434.6389","0.0010","3.0e+05",B,"11.82807116","14.68065033","3s2.3p5.(2P*<1/2>).4s","2[1/2]*","1","3s2.3p5.(2P*<1/2>).5p","2[3/2]","1",3,3,,"T5223","L2634",
,"436.5021","0.0010","1.20e+04",B,"11.62359272","14.46399577","3s2.3p5.(2P*<3/2>).4s","2[3/2]*","1","3s2.3p5.(2P*<3/2>).5p","2[1/2]","1",3,3,,"T5223",,
,"442.5237","0.0010","7.3e+03",C+,"11.72316039","14.52491330","3s2.3p5.(2P*<1/2>).4s","2[1/2]*","0","3s2.3p5.(2P*<3/2>).5p","2[3/2]","1",1,3,,"T5223",,
"451.1998","451.1999","0.0010","1.18e+06",B+,"11.82807116","14.57594878","3s2.3p5.(2P*<1/2>).4s","2[1/2]*","1","3s2.3p5.(2P*<3/2>).5p","2[1/2]","0",3,1,,"T5223","L2634",
"452.3591","452.3592","0.0010","9.0e+04",B,"11.72316039","14.46399577","3s2.3p5.(2P*<1/2>).4s","2[1/2]*","0","3s2.3p5.(2P*<3/2>).5p","2[1/2]","1",1,3,,"T5223","L2634",
,"454.6021","0.0010","8.3e+04",E,"12.90701530","15.634328","3s2.3p5.(2P*<3/2>).4p","2[1/2]","1","3s2.3p5.(2P*<3/2>).11d","2[1/2]*","1",3,3,,"T1164n",,
,"455.5601","0.0010","3.8e+04",E,"12.90701530","15.628593","3s2.3p5.(2P*<3/2>).4p","2[1/2]","1","3s2.3p5.(2P*<1/2>).7d","2[3/2]*","2",3,5,,"T1164n",,
,"458.6241","0.0010","1.6e+05",E,"12.90701530","15.610410","3s2.3p5.(2P*<3/2>).4p","2[1/2]","1","3s2.3p5.(2P*<3/2>).10d","2[3/2]*","2",3,5,,"T1164n",,
,"458.7897","0.0010","2.3e+05",E,"12.90701530","15.609435","3s2.3p5.(2P*<3/2>).4p","2[1/2]","1","3s2.3p5.(2P*<3/2>).10d","2[1/2]*","1",3,3,,"T1164n",,
,"458.8494","0.0010","4.9e+05",E,"12.90701530","15.609082","3s2.3p5.(2P*<3/2>).4p","2[1/2]","1","3s2.3p5.(2P*<3/2>).10d","2[1/2]*","0",3,1,,"T1164n",,
,"459.0575","0.0010","6.2e+03",C,"11.82807116","14.52891349","3s2.3p5.(2P*<1/2>).4s","2[1/2]*","1","3s2.3p5.(2P*<3/2>).5p","2[3/2]","2",3,5,,"T5223",,
"459.7385","459.7384","0.0010","9.5e+04",B,"11.82807116","14.52491330","3s2.3p5.(2P*<1/2>).4s","2[1/2]*","1","3s2.3p5.(2P*<3/2>).5p","2[3/2]","1",3,3,,"T5223","L2634",
"462.9737","462.9737","0.0010","3.83e+04",B+,"11.82807116","14.50606764","3s2.3p5.(2P*<1/2>).4s","2[1/2]*","1","3s2.3p5.(2P*<3/2>).5p","2[5/2]","2",3,5,,"T5223","L2634",
,"464.3437","0.0010","9.6e+04",E,"12.90701530","15.577111","3s2.3p5.(2P*<3/2>).4p","2[1/2]","1","3s2.3p5.(2P*<3/2>).9d","2[3/2]*","2",3,5,,"T1164n",,
,"464.8791","0.0010","1.2e+05",E,"12.90701530","15.574036","3s2.3p5.(2P*<3/2>).4p","2[1/2]","1","3s2.3p5.(2P*<3/2>).9d","2[1/2]*","1",3,3,,"T1164n",,
"470.3632","470.3632","0.0010","1.09e+05",B,"11.82807116","14.46399577","3s2.3p5.(2P*<1/2>).4s","2[1/2]*","1","3s2.3p5.(2P*<3/2>).5p","2[1/2]","1",3,3,,"T5223","L2634",
,"474.8148","0.0010","3.6e+05",E,"12.90701530","15.518227","3s2.3p5.(2P*<3/2>).4p","2[1/2]","1","3s2.3p5.(2P*<3/2>).8d","2[1/2]*","0",3,1,,"T1164n",,
,"475.4268","0.0010","4.5e+05",E,"12.90701530","15.5148657","3s2.3p5.(2P*<3/2>).4p","2[1/2]","1","3s2.3p5.(2P*<3/2>).8d","2[1/2]*","1",3,3,,"T1164n",,
,"477.0006","0.0010","8.6e+05",D,"12.90701530","15.5062613","3s2.3p5.(2P*<3/2>).4p","2[1/2]","1","3s2.3p5.(2P*<1/2>).6d","2[3/2]*","2",3,5,,"T1218n",,
,"480.0084","0.0010","8.8e+04",E,"13.07571571","15.658675","3s2.3p5.(2P*<3/2>).4p","2[5/2]","3","3s2.3p5.(2P*<3/2>).12d","2[7/2]*","4",7,9,,"T1164n",,
,"483.7321","0.0010","9.3e+04",E,"13.07571571","15.638792","3s2.3p5.(2P*<3/2>).4p","2[5/2]","3","3s2.3p5.(2P*<3/2>).11d","2[7/2]*","4",7,9,,"T1164n",,
,"483.8049","0.0010","1.02e+05",C,"12.90701530","15.469706","3s2.3p5.(2P*<3/2>).4p","2[1/2]","1","3s2.3p5.(2P*<3/2>).9s","2[3/2]*","2",3,5,,"T1164n",,
,"487.7623","0.0010","7.8e+05",D,"12.90701530","15.4489134","3s2.3p5.(2P*<3/2>).4p","2[1/2]","1","3s2.3p5.(2P*<3/2>).7d","2[3/2]*","2",3,5,,"T1218n",,
,"488.7655","0.0010","1.2e+05",E,"13.07571571","15.612397","3s2.3p5.(2P*<3/2>).4p","2[5/2]","3","3s2.3p5.(2P*<3/2>).10d","2[7/2]*","4",7,9,,"T1164n",,
,"488.9312","0.0010","1.3e+06",D,"12.90701530","15.4428362","3s2.3p5.(2P*<3/2>).4p","2[1/2]","1","3s2.3p5.(2P*<3/2>).7d","2[1/2]*","1",3,3,,"T1218n",,
,"489.6058","0.0010","1.8e+06",D,"12.90701530","15.4393425","3s2.3p5.(2P*<3/2>).4p","2[1/2]","1","3s2.3p5.(2P*<3/2>).7d","2[1/2]*","0",3,1,,"T1218n",,
,"492.2408","0.0010","5.9e+04",E,"13.09487256","15.613644","3s2.3p5.(2P*<3/2>).4p","2[5/2]","2","3s2.3p5.(2P*<3/2>).10d","2[7/2]*","3",5,7,,"T1164n",,
,"493.9098","0.0010","3.6e+04",E,"13.07571571","15.585975","3s2.3p5.(2P*<3/2>).4p","2[5/2]","3","3s2.3p5.(2P*<3/2>).11s","2[3/2]*","2",7,5,,"T1164n",,
,"495.8133","0.0010","1.8e+05",E,"13.07571571","15.576338","3s2.3p5.(2P*<3/2>).4p","2[5/2]","3","3s2.3p5.(2P*<3/2>).9d","2[7/2]*","4",7,9,,"T1164n",,
,"499.1335","0.0010","1.1e+05",E,"13.09487256","15.578861","3s2.3p5.(2P*<3/2>).4p","2[5/2]","2","3s2.3p5.(2P*<3/2>).9d","2[7/2]*","3",5,7,,"T1164n",,
,"503.3427","0.0010","8.2e+04",E,"13.07571571","15.538932","3s2.3p5.(2P*<3/2>).4p","2[5/2]","3","3s2.3p5.(2P*<3/2>).10s","2[3/2]*","2",7,5,,"T1164n",,
,"505.0219","0.0010","4.6e+05",D,"12.90701530","15.3620414","3s2.3p5.(2P*<3/2>).4p","2[1/2]","1","3s2.3p5.(2P*<3/2>).8s","2[3/2]*","2",3,5,,"T1218n",,
,"505.5585","0.0010","4.5e+05",D,"12.90701530","15.3594356","3s2.3p5.(2P*<3/2>).4p","2[1/2]","1","3s2.3p5.(2P*<1/2>).7s","2[1/2]*","1",3,3,,"T1218n",,
,"505.7938","0.0010","5.7e+05",D,"12.90701530","15.3582946","3s2.3p5.(2P*<3/2>).4p","2[1/2]","1","3s2.3p5.(2P*<1/2>).7s","2[1/2]*","0",3,1,,"T1218n",,
,"506.1490","0.0010","3.7e+05",E,"13.07571571","15.5252750","3s2.3p5.(2P*<3/2>).4p","2[5/2]","3","3s2.3p5.(2P*<3/2>).8d","2[7/2]*","4",7,9,,"T1164n",,
,"507.2391","0.0010","2.6e+05",E,"13.09487256","15.539168","3s2.3p5.(2P*<3/2>).4p","2[5/2]","2","3s2.3p5.(2P*<3/2>).10s","2[3/2]*","1",5,3,,"T1164n",,
,"507.4490","0.0010","5.9e+04",D,"12.90701530","15.3502992","3s2.3p5.(2P*<3/2>).4p","2[1/2]","1","3s2.3p5.(2P*<3/2>).6d","2[3/2]*","2",3,5,,"T1164n",,
,"507.9448","0.0010","4.7e+04",E,"13.07571571","15.5166146","3s2.3p5.(2P*<3/2>).4p","2[5/2]","3","3s2.3p5.(2P*<1/2>).6d","2[5/2]*","3",7,7,,"T1164n",,
,"508.8502","0.0010","1.6e+05",E,"13.09487256","15.531429","3s2.3p5.(2P*<3/2>).4p","2[5/2]","2","3s2.3p5.(2P*<3/2>).8d","2[7/2]*","3",5,7,,"T1164n",,
,"510.6152","0.0010","8.7e+04",E,"13.15314387","15.581278","3s2.3p5.(2P*<3/2>).4p","2[3/2]","1","3s2.3p5.(2P*<3/2>).9d","2[5/2]*","2",3,5,,"T1164n",,
,"511.9629","0.0010","2.7e+05",D+,"13.09487256","15.5166146","3s2.3p5.(2P*<3/2>).4p","2[5/2]","2","3s2.3p5.(2P*<1/2>).6d","2[5/2]*","3",5,7,,"T1218n",,
,"512.9229","0.0010","3.3e+04",D,"13.09487256","15.5120816","3s2.3p5.(2P*<3/2>).4p","2[5/2]","2","3s2.3p5.(2P*<1/2>).6d","2[5/2]*","2",5,5,,"T1218n",,
"515.2826","515.2826","0.0010","2.39e+06",C,"12.90701530","15.3131553","3s2.3p5.(2P*<3/2>).4p","2[1/2]","1","3s2.3p5.(2P*<3/2>).6d","2[1/2]*","0",3,1,,"T1218n","L2634",
,"515.3738","0.0010","1.1e+05",D,"12.90701530","15.31272913","3s2.3p5.(2P*<3/2>).4p","2[1/2]","1","3s2.3p5.(2P*<1/2>).5d","2[5/2]*","2",3,5,,"T1218n",,
"516.3723","516.3722","0.0010","1.90e+06",C,"12.90701530","15.30807770","3s2.3p5.(2P*<3/2>).4p","2[1/2]","1","3s2.3p5.(2P*<3/2>).6d","2[1/2]*","1",3,3,,"T1218n","L2634",
,"517.8978","0.0010","2.4e+05",D,"13.07571571","15.469706","3s2.3p5.(2P*<3/2>).4p","2[5/2]","3","3s2.3p5.(2P*<3/2>).9s","2[3/2]*","2",7,5,,"T1218n",,
